phenotype-antibiotic_name,phenotype-resistance_phenotype,phenotype-gen_measurement,phenotype-ast_standard,phenotype-laboratory_typing_method,phenotype-platform,phenotype-BioSample_ID,phenotype-assembly_ID,phenotype-genus,phenotype-species,phenotype-organism,phenotype-host,phenotype-SRA_accession,phenotype-gen_antibiotic_ontology,phenotype-collection_year,phenotype-host_age,phenotype-host_sex,phenotype-isolate,phenotype-isolation_source,phenotype-isolation_source_category,phenotype-isolation_latitude,phenotype-isolation_longitude,phenotype-AMR_associated_publications,phenotype-Updated_phenotype_CLSI,phenotype-Updated_phenotype_EUCAST,phenotype-used_ECOFF,phenotype-database,phenotype-country,phenotype-geographical_region,phenotype-geographical_subregion
oxacillin,resistant,> 16 mg/L,CLSI,broth dilution,,SAMN04901605,GCA_003194025.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS1739407,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0215,,,,,33659219,resistant,resistant,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,resistant,== 8 mg/L,CLSI,broth dilution,,SAMN04901607,,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,other (non-clinical isolate),SRS1739413,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0217,,,,,33659219,resistant,resistant,no,CDC;NCBI_antibiogram;NDARO;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,resistant,> 16 mg/L,CLSI,broth dilution,,SAMN04901608,GCA_003260535.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS1739414,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0218,,,,,33659219,resistant,resistant,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,resistant,> 16 mg/L,CLSI,broth dilution,,SAMN04901609,GCA_003193705.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS1739415,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0219,,,,,33659219,resistant,resistant,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,resistant,> 16 mg/L,CLSI,broth dilution,,SAMN04901610,GCA_003203675.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS1739416,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0220,,,,,33659219,resistant,resistant,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,resistant,== 8 mg/L,CLSI,broth dilution,,SAMN04901611,GCA_003260525.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS1739417,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0221,,,,,33659219,resistant,resistant,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,susceptible,<= 0.25 mg/L,CLSI,broth dilution,,SAMN04901612,GCA_003203655.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS1739418,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0222,,,,,33659219,susceptible,susceptible,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,resistant,== 16 mg/L,CLSI,broth dilution,,SAMN04901613,GCA_003193685.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS1739419,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0223,,,,,33659219,resistant,resistant,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,resistant,> 16 mg/L,CLSI,broth dilution,,SAMN04901614,GCA_003260475.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS1739420,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0224,,,,,33659219,resistant,resistant,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,resistant,== 8 mg/L,CLSI,broth dilution,,SAMN04901615,GCA_003193965.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS1739409,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0225,,,,,33659219,resistant,resistant,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,resistant,== 8 mg/L,CLSI,broth dilution,,SAMN04901616,GCA_003203595.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS1739410,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0226,,,,,33659219,resistant,resistant,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,resistant,== 16 mg/L,CLSI,broth dilution,,SAMN04901617,GCA_003260465.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS1739411,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0227,,,,,33659219,resistant,resistant,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
oxacillin,resistant,== 16 mg/L,CLSI,broth dilution,,SAMN04901618,GCA_003203635.1,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,,SRS1739412,ARO_0000056|https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000056,,,,FDA-CDC-AR_0228,,,,,33659219,resistant,resistant,no,CDC;NCBI_antibiogram;PATRIC;CABBAGE_PubMed_data,,,
